Dimer Name,Family Name,ED(MP),ED(MPrc),ED(NMP),ED(NMPrc),mmd
E2F1_EOMES_2,E2F_Tbox,0.27110748377916394,0.331539856958654,0.276409652874111,0.28253479343253,0.3163826652576225
E2F3_EOMES,E2F_Tbox,0.419166067172853,0.330465803908799,0.4172738511805879,0.322433850074422,0.5064810332708735
E2F3_TBX21,E2F_Tbox,0.434361030572493,0.13745562298828198,0.41824406992010205,0.14315549688545198,0.6064516621323631
E2F3_TBX21_2,E2F_Tbox,0.44256322556515604,0.21831006094078897,0.434462815950717,0.21081764102569603,0.6168613430808312
E2F3_TBX21_3,E2F_Tbox,0.314593400608003,0.41614403594214094,0.315102651046984,0.4131759274721671,0.31942500572099
E2F1_HES7,E2F_bHLH,0.34224256021309996,0.24031901868753697,0.37895296787479604,0.263917171605255,0.4987901352925776
E2F1_HES7_2,E2F_bHLH,0.311004181700099,0.25728730064530997,0.30795285052347304,0.24157708767243602,0.46257982797553604
E2F1_NHLH1,E2F_bHLH,0.389526432817901,0.278870589314504,0.3641701249872629,0.296702130061858,0.5369680186686866
E2F3_HES7,E2F_bHLH,0.40027158141334207,0.31078910805743,0.3613079504879779,0.292615009426687,0.5324374246164716
ELK1_EOMES,ETS_Tbox,0.272423872985872,0.383306735129812,0.250224755251262,0.361690409475447,0.3771497465579848
ELK1_EOMES_2,ETS_Tbox,0.415744593897221,0.27413251320770105,0.413237890379664,0.28002671196885903,0.6272903154600061
ELK1_EOMES_3,ETS_Tbox,0.14981506037504402,0.319433526684539,0.14981506037504402,0.319433526684539,0.16877580938847736
ELK1_TBX21,ETS_Tbox,0.237203074803316,0.389112295416004,0.21829047438791,0.37981465543479,0.38707928854432644
ELK1_TBX21_2,ETS_Tbox,0.18395207894799803,0.3875955140650871,0.15767513949368303,0.39794932395772203,0.17864385277293854
ELK1_TBX21_3,ETS_Tbox,0.300573587469389,0.380313281181686,0.263212769104774,0.39078232054885403,0.4208375308253128
ELK1_TBX21_4,ETS_Tbox,0.16465330741772902,0.362572295295151,0.18099564719416297,0.37452522040378494,0.333989462950699
ERF_EOMES,ETS_Tbox,0.24934355549963,0.36671769263395504,0.24080034112363,0.35353890935946597,0.25544584601312803
ERF_EOMES_2,ETS_Tbox,0.188065844257196,0.33967605073361895,0.17134866630601198,0.35002585869179703,0.516037335007072
ERF_TBX21,ETS_Tbox,0.27199345714886,0.273460011093731,0.254096155078625,0.264469497801103,0.22809120459395604
ERF_TBX21_2,ETS_Tbox,0.18449706229368698,0.422161346779917,0.169150490517477,0.408481492557692,0.4203456038624118
ETV2_EOMES,ETS_Tbox,0.2256716218015,0.37032771096614003,0.23231978238100898,0.364697074638628,0.22639204419009953
ETV2_EOMES_2,ETS_Tbox,0.133481321436,0.32971626459854697,0.14593459142683202,0.332191235050461,0.40018992278304305
ETV2_EOMES_3,ETS_Tbox,0.36108506253762,0.269857899600034,0.37717052526197703,0.25142178968351303,0.5352352563684547
ETV2_TBX21,ETS_Tbox,0.30817293078192304,0.38997577642935904,0.28689471927059995,0.38371741278672905,0.3358242447775568
ETV2_TBX21_2,ETS_Tbox,0.282738421612769,0.39346430347611405,0.24675077703978,0.39416862933841995,0.5231735193219319
ETV2_TBX21_3,ETS_Tbox,0.40604891085424,0.376581111167951,0.39711939343836894,0.35877381850300394,0.5693768210430681
ETV5_EOMES,ETS_Tbox,0.22679026455514004,0.346123540448718,0.242887139752054,0.330721994156354,0.35629922585616114
ETV5_EOMES_2,ETS_Tbox,0.1352887689032,0.29726625283207697,0.126651546736214,0.30360525686516604,0.3192304179734755
ETV7_TBX21,ETS_Tbox,0.387590328003622,0.32983997636727697,0.380109645765514,0.315725934478417,0.5696203952218039
ETV7_TBX21_2,ETS_Tbox,0.401900660722346,0.311860933934168,0.401900660722346,0.311860933934168,0.5761137955107288
ELK1_ETV7,ETS_ETS,0.260699583210317,0.3524789433530921,0.549495433171789,0.58283874314921,0.4375600915684516
ELK1_SPDEF,ETS_ETS,0.523699608819412,0.32307669185443,2.30164622880081,2.18274344420311,0.6742541885488976
ERF_ETV7,ETS_ETS,0.297881906082141,0.42610169092462397,0.297881906082141,0.42610169092462397,0.4953247276536999
