Dimer Name,Family Name,ED(MP),ED(MPrc),ED(NMP),ED(NMPrc),motif_distance,deepSyn_motif_distance,diff_distance,family_name
ETV2_SOX15_3,ETS_SOX,0.24413897274459306,0.36904278716462297,0.19496738674399106,0.35096075964907303,0.3535121748704829,0.3165455612025145,0.028718428031524405,ETS_SOX
ETV2_SOX15_4,ETS_SOX,0.170861132255194,0.398954776346296,0.170861132255194,0.398954776346296,0.25572255304229935,0.24238205965615425,0.023288932542927455,ETS_SOX
FOXJ2_ELF1,Fox_Ets,0.280021378901217,0.315143753242616,0.222219412773391,0.335451304214283,0.39601003184755307,0.25803785963704706,0.13797217221050598,Fox_ETS
FOXJ2_ELF1_2,Fox_Ets,0.35623388542894496,0.2727267433255069,0.295258790882657,0.317102778299805,0.4405601536389582,0.07274589739933858,0.2848435735621228,Fox_ETS
FOXJ3_ELF1,Fox_Ets,0.34664896824374,0.37521758152604,0.35209010386696205,0.351379936819904,0.39017271000096615,0.08876354246601498,0.29315661202342264,Fox_ETS
FOXO1_ELF1,Fox_Ets,0.306759406727268,0.309361764174155,0.28121879259304805,0.33948471501983196,0.5393927884254043,0.4032111019353963,0.018701319869618042,Fox_ETS
FOXO1_ELF1_2,Fox_Ets,0.5927304757369221,0.644514205811929,0.433135177646668,0.4605694851962971,0.4008993003260664,0.2636348322058568,0.2535168696009302,Fox_ETS
FOXO1_ELF1_3,Fox_Ets,0.242214615785494,0.374102919234767,0.20532793980611802,0.367336213617177,0.34254319561626534,0.2858709984594957,0.056672197156769626,Fox_ETS
FOXJ2_HOXB13,Fox_Homeo,0.204719766503718,0.390874327058262,0.17662554908683398,0.348298521244249,0.28951747034790687,0.11968208584453405,0.16983538450337282,Fox_Homeo
FOXJ2_HOXB13_2,Fox_Homeo,0.11796481808542099,0.35098186053842,0.0965575669246314,0.33181143057763,0.17442536036636572,0.19221834515176808,0.10895515199830813,Fox_Homeo
FOXJ2_HOXB13_3,Fox_Homeo,0.21159391146240905,0.359481650206568,0.201590143955025,0.345566030859283,0.2742805937454132,0.29033290382817944,0.09853298786108994,Fox_Homeo
FOXJ2_HOXB13_4,Fox_Homeo,0.165059380764235,0.34985590563344104,0.17710908634354,0.354172037611528,0.2631386294657969,0.1295348162958851,0.2283334187627356,Fox_Homeo
FOXJ2_PITX1,Fox_Homeo,0.20308530863542806,0.256815460343968,0.21293594711770106,0.297596987142005,0.2872059972343014,0.22100626294342607,0.06619973429087532,Fox_Homeo
FOXJ2_PITX1_2,Fox_Homeo,0.241991965235148,0.324619775819558,0.239796478286906,0.32616373968082896,0.2991253237979561,0.1999912295729981,0.2342472759806989,Fox_Homeo
FOXO1_HOXA10,Fox_Homeo,0.144746281566039,0.38715182193479203,0.164145250801826,0.327512234038677,0.20470215432669936,0.2405285138723471,-0.03582635954564775,Fox_Homeo
FOXO1_HOXB13,Fox_Homeo,0.244332805204977,0.32507316250731705,0.22342763417815198,0.327135362472656,0.5824367434151047,0.1644866292809028,0.34591124234319576,Fox_Homeo
FOXO1_HOXB13_2,Fox_Homeo,0.24098050249761704,0.369604124043526,0.234155627097205,0.355328388312258,0.5501563883867425,0.11594956551671662,0.21489629725259865,Fox_Homeo
