name1,name2,nameOut,case,isRC,loc1,loc2,quality1,quality2,quality,overlapLen
HOXB2,ESRRB,HOXB2_ESRRB,3,1,12,-2,0.11542435041563001,0.0597451440548113,0.175169494470441,-3
HOXB2,ESRRB,HOXB2_ESRRB_2,3,1,11,-2,0.116001276647365,0.11845308424062499,0.23445436088799,-2
HOXB2,ETV1,HOXB2_ETV1,4,1,-2,1,0.47732594409664897,0.24117850443518402,0.718504448531833,7
HOXB2,ETV4,HOXB2_ETV4,4,1,-1,2,0.438027840943837,0.240038762978411,0.6780666039222479,7
HOXB2,ETV7,HOXB2_ETV7,2,1,15,-2,0.22874570088044502,0.174077844062299,0.4028235449427439,-6
HOXB2,ETV7,HOXB2_ETV7_2,2,0,10,-1,0.15022068514161402,0.143413043978458,0.293633729120072,0
HOXB2,ETV7,HOXB2_ETV7_3,2,0,11,-1,0.25257314608182696,0.179793867086397,0.432367013168224,-1
HOXB2,HOXB13,HOXB2_HOXB13,1,0,-2,4,0.3589209083660229,0.25115408543310297,0.610074993799125,4
HOXB2,HOXB13,HOXB2_HOXB13_2,2,0,7,-1,0.43846680937147,0.21061140452481103,0.6490782138962821,3
HOXB2,HOXB13,HOXB2_HOXB13_3,1,0,-1,4,0.39925641077927,0.352656972128324,0.7519133829075929,5
HOXB2,NHLH1,HOXB2_NHLH1,4,0,-1,10,0.26612908364196197,0.11809461097703,0.384223694618992,-1
HOXB2,NHLH1,HOXB2_NHLH1_2,1,0,-1,11,0.280205659467114,0.0912765709461024,0.37148223041321704,-2
HOXB2,NHLH1,HOXB2_NHLH1_3,4,0,-1,12,0.291757136088864,0.12770010755963498,0.41945724364849896,-3
HOXB2,PAX1,HOXB2_PAX1,2,0,8,1,0.39360968886040504,0.227027623523178,0.620637312383583,10
HOXB2,PAX1,HOXB2_PAX1_2,1,0,-1,6,0.41263653609804296,0.122016943708125,0.534653479806168,3
HOXB2,PAX5,HOXB2_PAX5,2,0,8,1,0.33885000995837605,0.19869517291363198,0.537545182872008,11
HOXB2,PAX5,HOXB2_PAX5_2,1,0,-1,6,0.36673231551078206,0.134846516812274,0.501578832323057,3
HOXB2,PAX9,HOXB2_PAX9,1,0,-1,6,0.41072821333795206,0.14574602724704902,0.556474240585,3
HOXB2,PAX9,HOXB2_PAX9_2,2,0,7,0,0.374326060008464,0.238598127311021,0.612924187319485,10
HOXB2,PITX1,HOXB2_PITX1,2,1,6,-1,0.25588015474995396,0.14364000950517497,0.39952016425513,1
HOXB2,PITX1,HOXB2_PITX1_2,2,1,5,-1,0.27094171337384804,0.118626354233876,0.38956806760772295,2
